Hypothesis #,Hypothesis,Outcome of original study,Outcome of replication (yes/no),Market price,Survey result,Weighted survey result,Original power,Replication power,NumberOfTrades,Vol,sdev_survey
1,"White participants with high external motivation to respond without prejudice toward Blacks have an attentional bias toward neutral Black faces presented for 30 ms, but have an attentional bias away from neutral Black faces presented for 450 ms. These biases are eliminated when the faces display happy expressions.",Yes,No,36.33,49.39130435,53.84,0.49,0.91,101,2461.581968,25.15063795
2,Participants do not exhibit a delay in response when switching between pronouncing regular words and pronouncing nonwords.,No,Yes,71.73,NA,NA,0.9,0.95,61,785.5112874,NA
3,Naive participants' judgments of the power and leadership of CEO faces are correlated positively with their companies' profits. ,Yes,No,29.95,48.4893617,52.63366337,0.5,0.56,79,969.9425562,28.83376066
4,"Repetition Blindness (a reduction in reporting seeing an orthographically identical or similar word when it is presented in close temporal proximity amidst a series of rapidly-presented words or non-words) will occur even for non-identical orthographical neighbors (e.g., boss and bass) even when the stimuli are nonwords and when they are never repeated in the string of stimuli.",Yes,No,79.95,67.21276596,67.74358974,0.91,0.95,51,421.532308,16.17961166
5,"An increase in participants' public moral image will be related to an increased willingness to reconcile only for perpetrators, whereas an increase in participants' sense of power will be related to an increased willingness to reconcile only for victims.",Yes,No,41.77,51.85106383,53.50561798,0.73,0.89,44,530.7945301,21.89597811
6,Participants instructed to avoid race or use race in categorizing tools and guns exhibited less 1/f noise than participants in a control condition where no mention of race was made,Yes,No,30.5,59.80434783,62.70786517,0.63,0.86,53,514.0265139,19.59321829
7,"Participants with reduced self-regulation resources are expected to exhibit more pronounced confirmatory information processing than non-depleted and ego-threatened participants, while no significant differences regarding confirmatory information processing are expected between non-depleted and ego-threatened participants.",Yes,No,34.67,52.14893617,51.48648649,0.64,0.9,80,1186.657364,26.1500509
8,"Participants will prefer descriptions of the city of Los Angeles that are more concrete/less abstract when they are exposed to the words ""Los Angeles"" during an earlier exercise. Participants who are not shown ""Los Angeles"" during this earlier exercise will prefer relatively less concrete/more abstract descriptions of the city of Los Angeles.",Yes,No,29.08,36.39130435,35.05769231,0.5,0.99,93,1190.717562,23.39181078
9,"Word processing is slower for dense near semantic neighborhoods, i.e. words with many near neighbors are processed more slowly than words with few near neighbors.",Yes,Yes,83.9,73.95652174,76.75949367,0.94,0.99,59,684.8234996,14.05853876
10,"Words denoting objects that typically occur high in the visual field hinder identification of targets apearing at the top of the display, whereas words denoting low objects hinder target identification at the bottom of the display.",Yes,No,42.09,55.56521739,56.62765957,0.77,0.99,75,877.1563848,27.57265326
11,Survival processing yields better memory retention than a control condition with a contextually rich (but non-survival-relevant) encoding scenario.,Yes,Yes,64.6,56.2173913,59.5952381,0.61,0.99,68,779.1670431,22.42311609
