participant,h1,q1a,q1b,h2,q2a,q2b,h3,q3a,q3b,h4,q4a,q4b,h5,q5a,q5b,h6,q6a,q6b,h7,q7a,q7b,h8,q8a,q8b,h9,q9a,q9b,h10,q10a,q10b,h11,q11a,q11b,h12,q12a,q12b,h13,q13a,q13b,h14,q14a,q14b,h15,q15a,q15b,h16,q16a,q16b,h17,q17a,q17b,h18,q18a,q18b,h19,q19a,q19b,h20,q20a,q20b,h21,q21a,q21b,h22,q22a,q22b,h23,q23a,q23b
[omitted],1,50,3,1,80,1,1,35,3,1,80,1,1,51,3,1,81,3,1,20,4,1,30,4,1,81,1,1,10,3,1,50,1,1,39,2,1,81,1,1,40,2,1,1,4,1,71,1,1,20,2,1,81,1,1,81,1,1,20,4,1,61,3,1,9,3,1,80,1
[omitted],1,51,3,1,61,1,1,52,2,1,63,2,1,31,2,1,20,2,1,19,3,1,32,2,1,49,2,1,51,2,1,61,2,1,69,1,1,51,1,1,51,1,1,31,2,1,71,2,1,51,3,1,68,2,1,71,3,1,53,1,1,59,3,1,41,4,1,62,2
[omitted],1,84,3,1,81,1,1,61,3,1,81,1,1,91,3,1,85,3,1,40,2,1,50,2,1,81,1,1,89,3,1,81,2,1,81,2,1,81,1,1,81,1,1,60,3,1,80,1,1,70,3,1,80,1,1,76,1,1,74,2,1,70,2,1,70,2,1,81,1
[omitted],1,20,2,1,88,2,1,15,2,1,92,2,1,75,1,1,80,1,1,85,1,1,10,4,1,90,1,1,75,5,1,30,1,1,85,1,1,90,1,1,61,2,1,13,3,1,85,2,1,58,1,1,95,1,1,80,2,1,65,2,1,82,1,1,20,1,1,82,1
[omitted],1,10,2,1,61,1,1,80,2,1,50,1,1,5,3,1,60,1,1,80,3,1,5,2,1,80,1,1,80,1,1,50,1,1,80,2,1,40,1,1,80,3,1,5,3,1,80,2,1,5,1,1,60,2,1,5,1,1,5,3,1,10,2,1,5,2,1,20,1
[omitted],1,10,2,1,80,1,1,30,2,1,80,1,1,20,1,1,30,1,1,10,1,1,15,1,1,60,1,1,5,1,1,25,1,1,50,1,1,55,1,1,40,1,1,20,2,1,60,1,1,10,1,1,50,1,1,50,2,1,5,1,1,40,2,1,10,2,1,50,1
[omitted],1,50,2,1,60,2,1,51,2,1,71,2,1,75,1,1,55,1,1,81,3,1,51,2,1,81,2,1,50,1,1,50,1,1,80,1,1,80,2,1,71,1,1,50,1,1,70,2,1,65,1,1,70,1,1,55,1,1,50,2,1,80,3,1,60,2,1,60,2
[omitted],1,15,3,1,50,1,1,65,2,1,65,1,1,50,1,1,55,3,1,65,2,1,50,1,1,70,2,1,40,2,1,60,2,1,55,1,1,40,1,1,55,1,1,15,3,1,55,1,1,65,2,1,65,1,1,65,1,1,70,1,1,60,1,1,40,2,1,60,1
[omitted],1,32,2,1,70,1,1,40,2,1,61,1,1,52,2,1,65,3,1,40,3,1,19,4,1,68,1,1,42,1,1,28,1,1,58,2,1,71,1,1,63,2,1,10,3,1,39,1,1,20,1,1,57,1,1,71,1,1,5,3,1,56,3,1,30,2,1,28,2
[omitted],1,10,1,1,70,1,1,9,1,1,60,1,1,55,1,1,.,.,1,75,2,1,10,1,1,66,1,1,36,1,1,51,1,1,32,1,1,73,1,1,40,1,1,10,2,1,19,1,1,50,2,1,72,1,1,51,1,1,8,1,1,51,1,1,7,1,1,44,1
[omitted],1,51,1,1,20,1,1,80,1,1,71,1,1,51,1,1,71,1,1,70,1,1,81,1,1,71,1,1,61,1,1,60,1,1,50,1,1,61,2,1,40,1,1,20,1,1,41,1,1,29,1,1,81,2,1,71,2,1,70,1,1,61,1,1,40,1,1,61,1
[omitted],1,25,2,1,25,2,1,25,3,1,25,1,1,15,2,1,25,1,1,10,3,1,50,4,1,25,1,1,10,2,1,20,1,1,25,1,1,25,1,1,25,2,1,5,4,1,.,.,1,15,1,1,25,1,1,20,1,1,5,3,1,30,2,1,5,1,1,40,2
[omitted],1,34,3,1,52,1,1,14,3,1,65,3,1,33,3,1,13,2,1,35,3,1,2,2,1,72,1,1,0,4,1,8,4,1,64,1,1,76,1,1,72,3,1,0,5,1,81,2,1,28,2,1,82,1,1,92,1,1,14,3,1,30,3,1,73,5,1,9,2
[omitted],1,45,1,1,77,5,1,31,1,1,69,3,1,47,1,1,57,2,1,44,1,1,25,2,1,89,5,1,61,3,1,52,2,1,64,2,1,42,2,1,56,1,1,20,1,1,72,4,1,46,1,1,67,2,1,76,3,1,71,2,1,64,1,1,39,1,1,55,2
[omitted],1,18,1,1,71,1,1,81,2,1,81,1,1,50,1,1,50,1,1,24,2,1,8,2,1,60,1,1,29,1,1,60,1,1,71,1,1,70,1,1,70,1,1,29,2,1,40,1,1,50,1,1,61,1,1,60,1,1,19,1,1,70,1,1,20,2,1,20,1
[omitted],1,70,3,1,50,1,1,90,2,1,10,2,1,83,2,1,81,3,1,53,3,1,31,2,1,71,1,1,82,1,1,81,1,1,24,1,1,31,1,1,9,1,1,10,2,1,48,1,1,41,2,1,8,1,1,80,2,1,19,4,1,18,2,1,15,1,1,23,2
[omitted],1,40,2,1,20,3,1,30,2,1,60,3,1,50,1,1,50,1,1,70,1,1,30,1,1,70,2,1,40,1,1,80,1,1,60,1,1,60,1,1,40,2,1,50,1,1,40,1,1,70,2,1,70,1,1,20,2,1,60,1,1,40,1,1,20,2,1,50,1
[omitted],1,49,3,1,60,1,1,40,3,1,60,1,1,70,4,1,60,3,1,70,4,1,.,.,1,75,2,1,50,3,1,50,3,1,60,1,1,60,1,1,75,2,1,40,4,1,60,1,1,20,2,1,80,2,1,50,1,1,65,4,1,50,3,1,5,4,1,70,2
[omitted],1,21,1,1,70,1,1,3,2,1,71,1,1,80,2,1,83,1,1,11,3,1,0,2,1,69,2,1,29,1,1,51,1,1,33,2,1,54,1,1,19,3,1,43,1,1,1,1,1,20,1,1,59,1,1,82,1,1,81,3,1,75,2,1,30,2,1,.,.
[omitted],1,70,3,1,81,2,1,71,3,1,81,2,1,66,2,1,70,2,1,60,3,1,52,2,1,75,2,1,60,1,1,79,3,1,80,2,1,70,2,1,69,2,1,73,3,1,63,2,1,69,1,1,71,1,1,78,1,1,70,3,1,65,1,1,63,2,1,58,1
[omitted],1,91,4,1,50,1,1,81,2,1,51,1,1,51,1,1,71,1,1,91,2,1,70,1,1,51,1,1,71,1,1,61,1,1,50,1,1,50,1,1,20,1,1,31,2,1,91,2,1,39,1,1,50,1,1,50,1,1,70,2,1,50,1,1,0,1,1,20,1
[omitted],1,60,2,1,81,1,1,80,2,1,80,1,1,50,2,1,50,2,1,40,2,1,40,3,1,80,1,1,90,2,1,50,1,1,70,1,1,50,1,1,50,1,1,90,3,1,60,1,1,29,3,1,80,1,1,80,1,1,70,3,1,80,2,1,20,1,1,30,1
[omitted],1,57,1,1,66,1,1,81,1,1,78,1,1,61,2,1,50,1,1,19,3,1,65,1,1,69,1,1,65,1,1,81,3,1,66,1,1,65,1,1,67,1,1,18,3,1,81,1,1,68,1,1,66,1,1,64,1,1,78,2,1,74,1,1,77,1,1,71,1
[omitted],1,80,3,1,95,3,1,20,1,1,70,2,1,50,2,1,50,3,1,90,4,1,70,3,1,80,2,1,75,2,1,65,2,1,40,3,1,71,3,1,40,3,1,80,4,1,25,2,1,57,3,1,77,3,1,75,2,1,85,4,1,55,2,1,15,3,1,51,1
[omitted],1,85,2,1,80,1,1,80,3,1,80,1,1,70,3,1,80,2,1,50,4,1,50,3,1,85,1,1,70,2,1,60,2,1,75,1,1,75,1,1,80,1,1,20,4,1,75,1,1,50,2,1,85,1,1,80,1,1,70,5,1,65,3,1,30,5,1,70,1
[omitted],1,50,1,1,30,3,1,19,3,1,50,1,1,75,2,1,51,1,1,52,2,1,21,2,1,76,3,1,36,3,1,35,3,1,74,2,1,35,2,1,52,2,1,82,2,1,52,1,1,90,2,1,50,2,1,52,1,1,68,3,1,51,1,1,25,3,1,31,2
[omitted],1,50,3,1,72,1,1,55,3,1,75,1,1,60,2,1,60,3,1,55,2,1,60,3,1,70,1,1,50,3,1,75,2,1,63,1,1,71,1,1,65,1,1,45,3,1,75,1,1,65,2,1,75,1,1,65,1,1,55,3,1,65,2,1,25,2,1,60,2
[omitted],1,41,3,1,60,2,1,65,3,1,66,1,1,60,5,1,80,3,1,43,3,1,33,3,1,58,1,1,62,3,1,40,1,1,72,2,1,78,1,1,52,2,1,43,3,1,76,1,1,70,3,1,63,1,1,78,1,1,.,.,1,73,2,1,57,2,1,82,1
[omitted],1,19,1,1,61,1,1,2,1,1,65,1,1,40,1,1,70,1,1,19,2,1,9,3,1,82,1,1,70,1,1,40,2,1,70,1,1,81,2,1,82,3,1,20,2,1,91,2,1,29,2,1,81,1,1,62,1,1,40,1,1,78,2,1,2,1,1,70,1
[omitted],1,30,2,1,92,2,1,19,2,1,92,2,1,52,2,1,29,2,1,51,2,1,20,2,1,92,2,1,92,2,1,91,2,1,51,2,1,91,2,1,81,2,1,52,2,1,93,2,1,53,2,1,92,2,1,74,2,1,19,2,1,81,2,1,30,2,1,83,2
[omitted],1,40,3,1,50,2,1,60,3,1,60,3,1,20,2,1,50,2,1,60,2,1,40,1,1,.,.,1,40,1,1,40,1,1,50,1,1,50,1,1,60,1,1,40,2,1,70,3,1,40,3,1,60,1,1,60,2,1,40,2,1,70,2,1,60,2,1,70,3
[omitted],1,65,3,1,80,3,1,29,3,1,80,4,1,70,3,1,60,3,1,70,4,1,19,4,1,90,4,1,70,5,1,80,4,1,80,4,1,.,.,1,70,4,1,71,4,1,80,4,1,70,4,1,81,4,1,70,4,1,60,3,1,74,4,1,20,3,1,70,4
[omitted],1,81,3,1,30,2,1,12,1,1,67,3,1,6,2,1,84,2,1,91,3,1,59,1,1,63,2,1,72,2,1,86,2,1,79,1,1,87,2,1,90,3,1,94,2,1,93,3,1,63,1,1,58,1,1,54,1,1,90,3,1,90,3,1,64,2,1,32,2
[omitted],1,40,2,1,76,2,1,19,2,1,81,3,1,60,1,1,71,3,1,24,3,1,18,5,1,60,2,1,.,.,1,.,.,1,.,.,1,70,4,1,60,4,1,50,3,1,60,2,1,49,2,1,70,1,1,70,1,1,55,2,1,56,2,1,17,2,1,13,5
[omitted],1,90,3,1,70,1,1,98,3,1,70,1,1,19,1,1,81,3,1,78,1,1,9,2,1,90,3,1,80,1,1,30,1,1,52,1,1,75,1,1,53,1,1,22,2,1,87,4,1,35,1,1,74,1,1,64,1,1,38,1,1,93,3,1,81,1,1,51,2
[omitted],1,95,3,1,60,1,1,40,1,1,45,1,1,55,2,1,50,1,1,10,2,1,45,1,1,70,1,1,0,2,1,60,1,1,61,1,1,61,1,1,60,1,1,0,3,1,61,1,1,60,1,1,60,1,1,70,1,1,75,2,1,55,1,1,10,2,1,60,1
[omitted],1,60,4,1,70,2,1,15,1,1,77,1,1,50,3,1,40,1,1,15,3,1,9,2,1,71,2,1,81,2,1,92,3,1,81,2,1,60,2,1,71,3,1,5,4,1,81,2,1,75,4,1,50,2,1,75,2,1,15,4,1,30,4,1,90,3,1,60,3
[omitted],1,42,2,1,82,1,1,60,2,1,76,2,1,56,1,1,86,2,1,65,1,1,77,1,1,91,3,1,84,3,1,86,3,1,81,1,1,81,1,1,80,1,1,81,1,1,76,2,1,51,1,1,61,1,1,93,3,1,93,1,1,51,1,1,71,2,1,80,2
[omitted],1,.,.,1,.,.,1,93,3,1,70,1,1,69,1,1,81,3,1,73,3,1,92,3,1,88,1,1,100,3,1,95,3,1,91,2,1,81,1,1,81,1,1,91,3,1,96,4,1,40,2,1,77,1,1,67,1,1,91,3,1,70,1,1,15,3,1,56,1
[omitted],1,20,1,1,20,2,1,30,2,1,51,2,1,19,2,1,20,2,1,20,2,1,19,2,1,50,2,1,19,2,1,20,2,1,50,3,1,20,2,1,19,2,1,40,2,1,50,2,1,20,1,1,51,3,1,19,2,1,10,2,1,20,2,1,4,1,1,40,3
[omitted],1,58,1,1,71,2,1,81,2,1,66,3,1,49,1,1,63,1,1,52,1,1,40,2,1,69,2,1,30,2,1,58,2,1,60,3,1,71,3,1,53,1,1,42,1,1,74,2,1,51,1,1,71,2,1,68,2,1,47,2,1,73,2,1,55,1,1,49,2
[omitted],1,90,2,1,80,1,1,70,2,1,80,1,1,95,3,1,65,2,1,85,2,1,60,3,1,85,1,1,90,3,1,60,2,1,85,2,1,85,1,1,80,1,1,60,3,1,80,1,1,85,3,1,85,1,1,75,1,1,70,2,1,80,3,1,65,2,1,80,1
[omitted],1,19,1,1,81,4,1,19,1,1,80,4,1,51,1,1,82,3,1,78,1,1,30,1,1,100,4,1,87,1,1,91,3,1,50,2,1,39,3,1,71,1,1,66,1,1,96,4,1,50,1,1,91,1,1,92,3,1,65,2,1,71,1,1,58,1,1,76,3
[omitted],1,95,2,1,85,1,1,80,3,1,75,1,1,70,2,1,60,1,1,80,2,1,40,2,1,85,1,1,85,1,1,45,2,1,90,1,1,88,1,1,80,1,1,40,3,1,85,1,1,80,1,1,75,1,1,90,1,1,45,4,1,50,2,1,.,.,1,80,1
[omitted],1,59,1,1,87,2,1,74,2,1,73,2,1,29,1,1,35,1,1,65,1,1,70,3,1,89,3,1,39,2,1,34,1,1,59,2,1,85,4,1,50,1,1,25,2,1,88,3,1,35,1,1,92,3,1,90,5,1,68,2,1,59,1,1,8,1,1,52,2
[omitted],1,40,2,1,30,2,1,10,1,1,30,2,1,20,2,1,60,2,1,25,2,1,20,2,1,70,2,1,20,2,1,20,2,1,60,2,1,40,2,1,20,2,1,20,2,1,20,2,1,30,2,1,26,2,1,70,2,1,30,2,1,50,2,1,20,2,1,20,2
[omitted],1,60,2,1,61,1,1,84,5,1,75,1,1,80,2,1,81,3,1,88,4,1,38,4,1,85,1,1,78,4,1,64,2,1,66,1,1,66,1,1,43,2,1,30,4,1,81,2,1,43,2,1,57,1,1,45,1,1,30,4,1,71,2,1,40,3,1,71,3
