Market Name,Market ID,User ID,First Name,Last Name,Username,Email,Question Title,Question ID,Outcome Title,Outcome ID,Order ID,Order Receipt ID,Order Quantity,Order Type,Order Cost,Placed Successfully,Date
Replicator Market - Oct 14,213,121269,[omitted],[omitted],[omitted],[omitted],"Hypothesis 1, Lobue and DeLoache, “Detecting the snake in the grass: attention to fear-relevant stimuli by adults and young children”, Psychological Science",3468,Yes,10463,617320,617024,28.04070375,buy,1500,TRUE,2014-10-21 13:57:24 UTC
Replicator Market - Oct 14,213,121269,[omitted],[omitted],[omitted],[omitted],"Hypothesis 5, Lau et al., “Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals”, Psychological Science",3472,No,10472,617322,617026,14.47653192,buy,750,TRUE,2014-10-21 13:57:52 UTC
Replicator Market - Oct 14,213,121269,[omitted],[omitted],[omitted],[omitted],"Hypothesis 20, Purdie-Vaughns et al., “Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions”, JPSP",3487,Yes,10501,617324,617028,19.09028289,buy,1000,TRUE,2014-10-21 13:58:25 UTC
Replicator Market - Oct 14,213,121269,[omitted],[omitted],[omitted],[omitted],"Hypothesis 2, Nurmsoo and Bloom, “Preschoolers' perspective taking in word learning: do they blindly follow eye gaze?”, Psychological Science",3469,Yes,10465,617325,617029,19.09028289,buy,1000,TRUE,2014-10-21 13:58:43 UTC
Replicator Market - Oct 14,213,121308,[omitted],[omitted],[omitted],[omitted],"Hypothesis 17, Tamir et al., “Hedonic and instrumental motives in anger regulation”, Psychological Science",3484,Yes,10495,617326,617030,68.49382772,buy,4000,TRUE,2014-10-21 13:58:47 UTC
Replicator Market - Oct 14,213,121308,[omitted],[omitted],[omitted],[omitted],"Hypothesis 10, Halevy et al., ““In?Group Love” and “Out?Group Hate” as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm”, Psychological Science",3477,Yes,10481,617327,617031,68.49382772,buy,4000,TRUE,2014-10-21 13:59:01 UTC
Replicator Market - Oct 14,213,121269,[omitted],[omitted],[omitted],[omitted],"Hypothesis 3, Wolf et al., “Interindividual-intergroup discontinuity in the domain of correspondent outcomes: the roles of relativistic concern, perceived categorization, and the doctrine of mutual assured destruction”, JPSP",3470,No,10468,617328,617032,14.47653192,buy,750,TRUE,2014-10-21 13:59:04 UTC
Replicator Market - Oct 14,213,121308,[omitted],[omitted],[omitted],[omitted],"Hypothesis 6, Stanovich and West, “On the relative independence of thinking biases and cognitive ability”, JPSP",3473,Yes,10473,617330,617034,36.65894934,buy,2000,TRUE,2014-10-21 13:59:16 UTC
Replicator Market - Oct 14,213,121269,[omitted],[omitted],[omitted],[omitted],"Hypothesis 4, Förster et al., “The effect of global versus local processing styles on assimilation versus contrast in social judgment”, JPSP",3471,No,10470,617331,617035,19.09028289,buy,1000,TRUE,2014-10-21 13:59:30 UTC
Replicator Market - Oct 14,213,121269,[omitted],[omitted],[omitted],[omitted],"Hypothesis 7, Lemay and Clark, “Walking on eggshells: How expressing relationship insecurities perpetuates them”, JPSP",3474,Yes,10475,617332,617036,19.09028289,buy,1000,TRUE,2014-10-21 13:59:50 UTC
Replicator Market - Oct 14,213,122907,[omitted],[omitted],[omitted],[omitted],"Hypothesis 4, Förster et al., “The effect of global versus local processing styles on assimilation versus contrast in social judgment”, JPSP",3471,No,10470,617333,617037,49.40354482,buy,3000,TRUE,2014-10-21 13:59:58 UTC
